"state","State_name","Population","date","category","count","dataQualityGrade"
"PR","Puerto Rico *",2933408,2020-05-30,"posNeg",3718,"B"
"RI","Rhode Island ",1059361,2020-05-30,"posNeg",150317,"A+"
"SC","South Carolina ",5148714,2020-05-30,"posNeg",189519,"A"
"SD","South Dakota *",884659,2020-05-30,"posNeg",42938,"B"
"TN","Tennessee *",6829174,2020-05-30,"posNeg",427046,"B"
"TX","Texas *",28995881,2020-05-30,"posNeg",928517,"B"
"UT","Utah *",3205958,2020-05-30,"posNeg",210105,"B"
"VA","Virginia ",8535519,2020-05-30,"posNeg",305512,"A+"
"VT","Vermont *",623989,2020-05-30,"posNeg",32667,"B"
"WA","Washington *",7614893,2020-05-30,"posNeg",348233,"B"
"WI","Wisconsin ",5822434,2020-05-30,"posNeg",261138,"A+"
"WV","West Virginia *",1792147,2020-05-30,"posNeg",95890,"B"
"AK","Alaska ",731545,2020-05-29,"posNeg",49439,"A"
"AL","Alabama *",4903185,2020-05-29,"posNeg",208883,"B"
"AR","Arkansas ",3017804,2020-05-29,"posNeg",119768,"A"
"AZ","Arizona ",7278717,2020-05-29,"posNeg",209813,"A+"
"CA","California *",39512223,2020-05-29,"posNeg",1835478,"B"
"CO","Colorado ",5758736,2020-05-29,"posNeg",168959,"A"
"CT","Connecticut *",3565287,2020-05-29,"posNeg",241393,"B"
"DC","District of Columbia ",705749,2020-05-29,"posNeg",43858,"A+"
"DE","Delaware ",973764,2020-05-29,"posNeg",57533,"A"
"FL","Florida ",21477737,2020-05-29,"posNeg",983239,"A"
"GA","Georgia ",10617423,2020-05-29,"posNeg",450271,"A"
"GU","Guam *",167772,2020-05-29,"posNeg",6095,"B"
"IA","Iowa ",3155070,2020-05-29,"posNeg",147320,"A+"
"ID","Idaho ",1787065,2020-05-29,"posNeg",44761,"A"
"IL","Illinois ",16980127,2020-05-29,"posNeg",851762,"A"
"IN","Indiana ",6732219,2020-05-29,"posNeg",248713,"A+"
"KS","Kansas ",2913314,2020-05-29,"posNeg",94949,"A"
"KY","Kentucky ",4467673,2020-05-29,"posNeg",221274,"A"
"LA","Louisiana *",4648794,2020-05-29,"posNeg",355027,"B"
"MA","Massachusetts ",6892503,2020-05-29,"posNeg",571745,"A+"
"MD","Maryland *",6045680,2020-05-29,"posNeg",284518,"B"
